Category,Family,Peg,Unit,2025-05-03 11:00,2025-05-03 11:15,2025-05-03 11:30,2025-05-03 11:45,2025-05-03 12:00,2025-05-03 12:15,2025-05-03 12:30,2025-05-03 12:45,2025-05-03 13:00,2025-05-03 13:15,2025-05-03 13:30,2025-05-03 13:45,2025-05-03 14:00,2025-05-04 11:00,2025-05-04 11:15,2025-05-04 11:30,2025-05-04 11:45,2025-05-04 12:00,2025-05-04 12:15,2025-05-04 12:30,2025-05-04 12:45,2025-05-04 13:00,2025-05-04 13:15,2025-05-04 13:30
Test condition,Average Interference Power per PRB in the PUCCH Region,PucchInterferencePowerAvg(dBm),,-111.43,-110.64,-110.41,-110.53,-110.16,-110.17,-110.51,-110.33,-110.17,-110.27,-109.79,-110.87,-111.19,-109.91,-109.94,-110.52,-109.46,-110.32,-110.22,-110.55,-110.75,-110.34,-109.96,-110.72
Test condition,Power,InterferencePowerAvg(dBm),,-116.1,-114.75,-114.22,-114.95,-114.19,-114.05,-114.61,-114.41,-114.22,-114.37,-113.41,-115.05,-115.29,-114.29,-114.52,-115.56,-113.51,-115.4,-114.89,-115.47,-115.4,-115.04,-114.23,-115.76
Test condition,SINR Distribution,SinrDistULWbPreComp_Bin%d(count),,15.82,15.5,15.36,15.53,15.41,15.38,15.47,15.47,15.4,15.43,15.17,15.52,15.6,15.42,15.53,15.71,15.32,15.69,15.55,15.65,15.6,15.55,15.52,15.77
Test condition,PUCCH SINR Distribution per bin,PucchSinrDistBin%d(count),,5.86,5.87,5.88,5.85,5.8,5.89,5.84,5.88,5.86,5.86,5.88,5.83,5.77,6.02,6.11,6.03,6.12,6.04,6.1,6.14,6.11,6.14,6.04,6.1
Test condition,Power,RssiOverPathAvg(dBm),,-86.3,-85.62,-85.18,-85.26,-85.44,-85.01,-85.58,-85.49,-85.38,-85.25,-84.22,-86.1,-86.16,-86.04,-85.48,-86.03,-85,-86.59,-86,-86.26,-86.25,-85.91,-84.94,-86.28
Test condition,RSSI of Each Path Measured by MAC,RssiPathAvg(dBm),RSSIPath0,-76.99,-77.1,-76.97,-76.15,-77.09,-76.45,-77.13,-77.03,-77.06,-76.71,-75.83,-77.77,-77.63,-78.22,-77.12,-77.16,-76.87,-78.31,-77.79,-77.84,-77.81,-77.61,-76.22,-77.32
Test condition,RSSI of Each Path Measured by MAC,RssiPathAvg(dBm),RSSIPath1,-95.66,-94.19,-93.44,-94.43,-93.84,-93.62,-94.09,-93.99,-93.74,-93.85,-92.65,-94.48,-94.74,-93.91,-93.89,-94.95,-93.18,-94.92,-94.26,-94.73,-94.74,-94.26,-93.71,-95.28
Test condition,RSSI of Each Path Measured by MAC,RssiPathAvg(dBm),RSSIPath2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Test condition,RSSI of Each Path Measured by MAC,RssiPathAvg(dBm),RSSIPath3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Test condition (plus when PDSCH is transmitted),DL MCS,DLTransmittedMcs%d(count),,20.64,20.18,20.62,20.31,20.6,20.68,20.41,20.41,20.38,20.63,20.25,20.97,20.77,19.92,19.42,19.85,19.71,19.36,19.85,19.88,19.94,19.89,19.92,19.75
Test condition (plus when PDSCH is transmitted),DL MCS in 256QAM,DLTransmittedMcs%d_256QAM(count),,15.3,13.69,14.52,13.92,14,14.44,14.08,14.57,13.7,14.79,13.97,15.37,15.1,14.3,14.03,14.23,14.01,14.52,14.8,15.57,15.14,15.11,14.88,15.43
Test condition (plus size of PRB),MCS,DLSchedulerMcs%d(count),,25.71,25.42,25.59,25.45,25.59,25.57,25.51,25.64,25.42,25.55,25.47,25.83,25.67,25.48,25.21,25.4,25.34,25.36,25.41,25.5,25.57,25.45,25.4,25.49
Test condition,Scheduled UE Distribution,DLScheduledUETTIBin%d(count),,3.24,3.47,3.42,3.53,3.44,3.47,3.45,3.39,3.53,3.37,3.65,3.17,3.17,3.11,3.34,3.27,3.37,3,3.1,2.93,2.97,3.06,3.29,3
Test condition,MCS,ULReceivedMcs%d(count),,25.33,25.38,25.27,25.52,25.29,25.41,25.32,25.24,25.28,25.35,25.45,25.19,25.14,25.2,25.38,25.34,25.42,25.29,25.34,25.61,25.54,25.5,25.48,25.61
Test condition,MCS in 256QAM supported UE,ULReceivedMcs%d_256QAM(count),,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0,Deno0
